河北频道,#genre#
河北卫视,http://183.196.87.176:880/030000001000/G_HEBEI/G_HEBEI.m3u8?livemode=1
央视频道,#genre#
CCTV1,http://183.196.87.176:880/030000001000/CCTV-1-HD/CCTV-1-HD.m3u8?livemode=1
CCTV10,http://183.196.87.176:880/030000001000/CCTV-10/CCTV-10.m3u8?livemode=1
CCTV11,http://183.196.87.176:880/030000001000/CCTV-11/CCTV-11.m3u8?livemode=1
CCTV12,http://183.196.87.176:880/030000001000/CCTV-12/CCTV-12.m3u8?livemode=1
CCTV13,http://183.196.87.176:880/030000001000/CCTV-13/CCTV-13.m3u8?livemode=1
CCTV14,http://183.196.87.176:880/030000001000/G_CCTV-14/G_CCTV-14.m3u8?livemode=1
CCTV15,http://183.196.87.176:880/030000001000/G_CCTV-15/G_CCTV-15.m3u8?livemode=1
CCTV2,http://183.196.87.176:880/030000001000/G_CCTV-2/G_CCTV-2.m3u8?livemode=1
CCTV3,http://183.196.87.176:880/030000001000/CCTV-3/CCTV-3.m3u8?livemode=1
CCTV4,http://183.196.87.176:880/030000001000/CCTV-4/CCTV-4.m3u8?livemode=1
CCTV5,http://183.196.87.176:880/030000001000/CCTV-5/CCTV-5.m3u8?livemode=1
CCTV6,http://183.196.87.176:880/030000001000/CCTV-6/CCTV-6.m3u8?livemode=1
CCTV7,http://183.196.87.176:880/030000001000/CCTV-7/CCTV-7.m3u8?livemode=1
CCTV8,http://183.196.87.176:880/030000001000/G_CCTV-8/G_CCTV-8.m3u8?livemode=1
CCTV9,http://183.196.87.176:880/030000001000/G_CCTV-9/G_CCTV-9.m3u8?livemode=1
CCTVE,http://183.196.87.176:880/030000001000/G_CCTV-NEWS/G_CCTV-NEWS.m3u8?livemode=1
卫视频道,#genre#
东南卫视,http://183.196.87.176:880/030000001000/DNWS/DNWS.m3u8?livemode=1
东方卫视,http://183.196.87.176:880/030000001000/DFWS-HD/DFWS-HD.m3u8?livemode=1
东方卫视,http://183.196.87.176:880/030000001000/G_DONGFANG/G_DONGFANG.m3u8?livemode=1
云南卫视,http://183.196.87.176:880/030000001000/G_YUNNAN/G_YUNNAN.m3u8?livemode=1
北京卫视,http://183.196.87.176:880/030000001000/BTV-1/BTV-1.m3u8?livemode=1
北京卫视,http://183.196.87.176:880/030000001000/G_BEIJING/G_BEIJING.m3u8?livemode=1
吉林卫视,http://183.196.87.176:880/030000001000/G_JILIN/G_JILIN.m3u8?livemode=1
四川卫视,http://183.196.87.176:880/030000001000/SCWS/SCWS.m3u8?livemode=1
天津卫视,http://183.196.87.176:880/030000001000/TJWS/TJWS.m3u8?livemode=1
安徽卫视,http://183.196.87.176:880/030000001000/AHWS/AHWS.m3u8?livemode=1
山东卫视,http://183.196.87.176:880/030000001000/SDWS/SDWS.m3u8?livemode=1
山西卫视,http://183.196.87.176:880/030000001000/SXWS/SXWS.m3u8?livemode=1
广东卫视,http://183.196.87.176:880/030000001000/GDWS-HD/GDWS-HD.m3u8?livemode=1
广东卫视,http://183.196.87.176:880/030000001000/G_GUANGDONG/G_GUANGDONG.m3u8?livemode=1
广西卫视,http://183.196.87.176:880/030000001000/GXWS/GXWS.m3u8?livemode=1
新疆卫视,http://183.196.87.176:880/030000001000/G_XINJIANG/G_XINJIANG.m3u8?livemode=1
旅游卫视,http://183.196.87.176:880/030000001000/LYWS/LYWS.m3u8?livemode=1
江苏卫视,http://183.196.87.176:880/030000001000/G_JIANGSU-HD/G_JIANGSU-HD.m3u8?livemode=1
江苏卫视,http://183.196.87.176:880/030000001000/JSWS-HD/JSWS-HD.m3u8?livemode=1
江西卫视,http://183.196.87.176:880/030000001000/JXWS/JXWS.m3u8?livemode=1
河北卫视,http://183.196.87.176:880/030000001000/G_HEBEI/G_HEBEI.m3u8?livemode=1
河南卫视,http://183.196.87.176:880/030000001000/HENAN/HENAN.m3u8?livemode=1
浙江卫视,http://183.196.87.176:880/030000001000/G_ZHEJIANG/G_ZHEJIANG.m3u8?livemode=1
